setNumber,name,year,numParts,imageUrl,inventoryId
0003977811-1,Ninjago: Book of Adventures,2022,1,https://cdn.rebrickable.com/media/sets/0003977811-1.jpg,206820
001-1,Gears,1965,43,https://cdn.rebrickable.com/media/sets/001-1.jpg,24696
0011-2,Town Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg,5087
0011-3,Castle 2 for 1 Bonus Offer,1987,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg,2216
0012-1,Space Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg,1414
0013-1,Space Mini-Figures,1979,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg,4609
0014-1,Space Mini-Figures,1982,2,https://cdn.rebrickable.com/media/sets/0014-1.jpg,163782
0015-1,Space Mini-Figures,1979,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg,12208
0016-1,Castle Mini Figures,1979,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg,13351
002-1,4.5V Samsonite Gears Motor Set,1965,3,https://cdn.rebrickable.com/media/sets/002-1.jpg,24701
003-1,Master Mechanic Set,1966,403,https://cdn.rebrickable.com/media/sets/003-1.jpg,24702
004-1,Master Builder Set,1966,817,https://cdn.rebrickable.com/media/sets/004-1.jpg,205118
005-1,Basic Building Set in Cardboard,1965,35,https://cdn.rebrickable.com/media/sets/005-1.jpg,2028
005-2,Discovery Set,1967,0,https://cdn.rebrickable.com/media/sets/005-2.jpg,24732
00-6,Special Offer,1985,0,https://cdn.rebrickable.com/media/sets/00-6.jpg,2836
00747-1,BIONICLE Quest for Makuta: Adventure Game,2001,0,https://cdn.rebrickable.com/media/sets/00747-1.jpg,321030
010-1,Basic Building Set in Cardboard,1965,57,https://cdn.rebrickable.com/media/sets/010-1.jpg,13468
010-2,Pre-School Set,1973,18,https://cdn.rebrickable.com/media/sets/010-2.jpg,175145
010-3,Basic Building Set,1968,77,https://cdn.rebrickable.com/media/sets/010-3.jpg,5080
010423-1,The Majestic Horse,2023,492,https://cdn.rebrickable.com/media/sets/010423-1.jpg,221307
01-1,Chain Links,1980,25,https://cdn.rebrickable.com/media/sets/01-1.jpg,38437
011-1,Basic Building Set,1968,145,https://cdn.rebrickable.com/media/sets/011-1.jpg,8404
01-2,Bulldozer Chain Links,1982,50,https://cdn.rebrickable.com/media/sets/01-2.jpg,38435
020-1,Basic Building Set in Cardboard,1965,94,https://cdn.rebrickable.com/media/sets/020-1.jpg,307896
02-1,Extra Large Tires & Hubs,1982,4,https://cdn.rebrickable.com/media/sets/02-1.jpg,7986
021-1,Wheel Set,1966,183,https://cdn.rebrickable.com/media/sets/021-1.jpg,24734
02-2,Digger Bucket Assembly,1980,3,https://cdn.rebrickable.com/media/sets/02-2.jpg,38445
022-1,Basic Building Set,1968,110,https://cdn.rebrickable.com/media/sets/022-1.jpg,301337
022-2,Doll Furniture,1965,0,https://cdn.rebrickable.com/media/sets/022-2.jpg,205121
0241187567-1,Ninjago: Build Your Own Adventure,2015,74,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg,76615
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,70,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg,35863
028-1,Nursery Furniture,1979,7,https://cdn.rebrickable.com/media/sets/028-1.jpg,26354
030-2,Building Set,1973,29,https://cdn.rebrickable.com/media/sets/030-2.jpg,35888
03093-1,The Race to Build It Board Game,1999,79,https://cdn.rebrickable.com/media/sets/03093-1.jpg,8957
03-1,Doors and Fences,1980,10,https://cdn.rebrickable.com/media/sets/03-1.jpg,38447
032-1,Living Room,1979,14,https://cdn.rebrickable.com/media/sets/032-1.jpg,26365
033-1,Farm Animals,1979,21,https://cdn.rebrickable.com/media/sets/033-1.jpg,25681
033-2,Basic Building Set,1968,177,https://cdn.rebrickable.com/media/sets/033-2.jpg,3372
04-1,Propellers and Wheels,1980,13,https://cdn.rebrickable.com/media/sets/04-1.jpg,38450
041-1,Pre-School Beginners Set,1964,24,https://cdn.rebrickable.com/media/sets/041-1.jpg,24736
041-2,Playhouse,1979,1,https://cdn.rebrickable.com/media/sets/041-2.jpg,26368
042-1,Jumbo Brick Pull Toy,1966,9,https://cdn.rebrickable.com/media/sets/042-1.jpg,24737
044-1,Basic Building Set,1968,225,https://cdn.rebrickable.com/media/sets/044-1.jpg,301336
044-2,Jumbo Bricks,1969,30,https://cdn.rebrickable.com/media/sets/044-2.jpg,24738
045-1,Farm,1979,66,https://cdn.rebrickable.com/media/sets/045-1.jpg,26355
045-2,Assorted Clear Bricks & Plates,1969,37,https://cdn.rebrickable.com/media/sets/045-2.jpg,69190
047-1,Gates and Fences,1969,15,https://cdn.rebrickable.com/media/sets/047-1.jpg,205120
049-1,Windows / Doors & Trees / Bushes,1969,27,https://cdn.rebrickable.com/media/sets/049-1.jpg,205117
050-2,Lighting Device Pack,1969,4,https://cdn.rebrickable.com/media/sets/050-2.jpg,24739
05-1,Hinges,1980,3,https://cdn.rebrickable.com/media/sets/05-1.jpg,38451
051-1,Assorted Basic Bricks - Red,1966,50,https://cdn.rebrickable.com/media/sets/051-1.jpg,24740
052-1,Assorted Basic Bricks - White,1966,50,https://cdn.rebrickable.com/media/sets/052-1.jpg,24741
053-1,Assorted Basic Bricks - Blue,1966,50,https://cdn.rebrickable.com/media/sets/053-1.jpg,24742
054-1,Assorted Basic Bricks - Yellow,1966,50,https://cdn.rebrickable.com/media/sets/054-1.jpg,24743
055-1,Trees & Bushes,1966,25,https://cdn.rebrickable.com/media/sets/055-1.jpg,24744
055-2,Basic Building Set,1968,256,https://cdn.rebrickable.com/media/sets/055-2.jpg,2962
057-1,Large Wheels,1966,17,https://cdn.rebrickable.com/media/sets/057-1.jpg,24745
058-1,Small Wheels,1966,26,https://cdn.rebrickable.com/media/sets/058-1.jpg,24748
060-1,Assorted White Plates,1966,15,https://cdn.rebrickable.com/media/sets/060-1.jpg,24749
060-3,Jumbo Brick School Set,1968,60,https://cdn.rebrickable.com/media/sets/060-3.jpg,24750
06-1,Motor Wires,1980,6,https://cdn.rebrickable.com/media/sets/06-1.jpg,38453
061-1,Five Large Base Plates - Green,1966,5,https://cdn.rebrickable.com/media/sets/061-1.jpg,24751
062-1,Five Large Base Plates - White,1966,5,https://cdn.rebrickable.com/media/sets/062-1.jpg,24752
063-1,Five Large Base Plates - Blue,1966,5,https://cdn.rebrickable.com/media/sets/063-1.jpg,24753
063-2,Ducks,1978,18,https://cdn.rebrickable.com/media/sets/063-2.jpg,31596
065-1,Two Garage Door Kits,1969,6,https://cdn.rebrickable.com/media/sets/065-1.jpg,24754
066-1,Basic Building Set,1968,407,https://cdn.rebrickable.com/media/sets/066-1.jpg,2650
066-2,Governor Set,1968,407,https://cdn.rebrickable.com/media/sets/066-2.jpg,205124
07-1,Battery Box,1980,1,https://cdn.rebrickable.com/media/sets/07-1.jpg,38454
071-1,Block Box,1979,24,https://cdn.rebrickable.com/media/sets/071-1.jpg,31595
074-1,Pre-School Set,1976,20,https://cdn.rebrickable.com/media/sets/074-1.jpg,26992
075-1,Pre-School Set,1975,17,https://cdn.rebrickable.com/media/sets/075-1.jpg,26993
0751359483-1,The Ultimate LEGO Book,1999,0,https://cdn.rebrickable.com/media/sets/0751359483-1.jpg,54699
0756668530-1,Atlantis: Brickmaster,2010,157,https://cdn.rebrickable.com/media/sets/0756668530-1.jpg,6399
0756672805-1,Pirates: Brickmaster,2009,162,https://cdn.rebrickable.com/media/sets/0756672805-1.jpg,10414
0756682762-1,Ninjago: Brickmaster,2011,154,https://cdn.rebrickable.com/media/sets/0756682762-1.jpg,16042
0756692571-1,Harry Potter: Characters of the Magical World,2012,4,https://cdn.rebrickable.com/media/sets/0756692571-1.jpg,34726
077-1,Pre-School Set,1975,21,https://cdn.rebrickable.com/media/sets/077-1.jpg,26994
078-1,Roadway Base Plate,1970,1,https://cdn.rebrickable.com/media/sets/078-1.jpg,24755
080-1,Basic Building Set with Train,1967,712,https://cdn.rebrickable.com/media/sets/080-1.jpg,1973
080-2,Ambassador Set,1967,712,https://cdn.rebrickable.com/media/sets/080-2.jpg,24756
080-3,Police Station,1976,24,https://cdn.rebrickable.com/media/sets/080-3.jpg,26995
08-1,4.5V Replacement Motor,1982,1,https://cdn.rebrickable.com/media/sets/08-1.jpg,38438
082-1,Legoville,1976,63,https://cdn.rebrickable.com/media/sets/082-1.jpg,45846
085-1,Racer,1977,4,https://cdn.rebrickable.com/media/sets/085-1.jpg,181211
086-1,Tub Boat,1978,3,https://cdn.rebrickable.com/media/sets/086-1.jpg,26480
0878119001641-1,Star Wars ZipBin Storage Toy Case Battle Bridge,2012,0,https://cdn.rebrickable.com/media/sets/0878119001641-1.jpg,235518
088-1,Super Set,1969,615,https://cdn.rebrickable.com/media/sets/088-1.jpg,229399
089154-1,Belville Jigsaw Puzzle,2006,0,https://cdn.rebrickable.com/media/sets/089154-1.jpg,276620
0906946506-1,Fabuland: Lionel Lion's New Car,1984,0,https://cdn.rebrickable.com/media/sets/0906946506-1.jpg,228201
09-1,Trees & Flowers,1981,22,https://cdn.rebrickable.com/media/sets/09-1.jpg,317
10000-1,Guarded Inn,2001,256,https://cdn.rebrickable.com/media/sets/10000-1.jpg,9986
10000549412-1,Jurassic World - PC DVD,2015,0,https://cdn.rebrickable.com/media/sets/10000549412-1.jpg,128475
1000-1,Mosaic Set,1985,202,https://cdn.rebrickable.com/media/sets/1000-1.jpg,26651
10001-1,Metroliner,2001,787,https://cdn.rebrickable.com/media/sets/10001-1.jpg,46115
10002-1,Railroad Club Car,2001,293,https://cdn.rebrickable.com/media/sets/10002-1.jpg,4904
1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,0,https://cdn.rebrickable.com/media/sets/1000229927-1.jpg,128461
10003-1,1 x 2 Sand Red Bricks,2001,100,https://cdn.rebrickable.com/media/sets/10003-1.jpg,14242
1000368666-1,Batman the Videogame - PSP,2008,0,https://cdn.rebrickable.com/media/sets/1000368666-1.jpg,128429
10004-1,2 x 2 Sand Red Bricks,2001,100,https://cdn.rebrickable.com/media/sets/10004-1.jpg,7182
1000430096-8,Marvel Super Heroes - PS4,2013,0,https://cdn.rebrickable.com/media/sets/1000430096-8.jpg,128481
10005-1,2 x 4 Sand Red Bricks,2001,50,https://cdn.rebrickable.com/media/sets/10005-1.jpg,5882
1000565140-1,Jurassic World - Xbox One,2015,0,https://cdn.rebrickable.com/media/sets/1000565140-1.jpg,128675
1000565190-1,Jurassic World - PS Vita‎,2015,0,https://cdn.rebrickable.com/media/sets/1000565190-1.jpg,128674
1000565740-1,Marvel Avengers - Xbox One,2016,0,https://cdn.rebrickable.com/media/sets/1000565740-1.jpg,128658
1000565742-1,Marvel Avengers - PS4,2016,0,https://cdn.rebrickable.com/media/sets/1000565742-1.jpg,128659
1000565765-1,Marvel Avengers - PS Vita‎,2016,0,https://cdn.rebrickable.com/media/sets/1000565765-1.jpg,128661
1000565897-5,Marvel Super Heroes - Xbox One,2013,0,https://cdn.rebrickable.com/media/sets/1000565897-5.jpg,128480
1000577871-1,Marvel Avengers - PC,2016,0,https://cdn.rebrickable.com/media/sets/1000577871-1.jpg,128477
1000591519-1,Star Wars: The Force Awakens - 3DS,2016,0,https://cdn.rebrickable.com/media/sets/1000591519-1.jpg,128662
1000591524-1,Star Wars: The Force Awakens - PS Vita,2016,0,https://cdn.rebrickable.com/media/sets/1000591524-1.jpg,128663
1000598000-1,Star Wars: The Force Awakens Deluxe Edition - PS3,2016,0,https://cdn.rebrickable.com/media/sets/1000598000-1.jpg,128995
1000600263-1,Star Wars: The Force Awakens - PS3,2016,0,https://cdn.rebrickable.com/media/sets/1000600263-1.jpg,128540
10006-1,1 x 6 Sand Red Bricks,2001,50,https://cdn.rebrickable.com/media/sets/10006-1.jpg,15420
1000629598-1,Harry Potter Collection - PS4,2016,0,https://cdn.rebrickable.com/media/sets/1000629598-1.jpg,128530
1000643461-1,Marvel Super Heroes 2 - Xbox One,2017,0,https://cdn.rebrickable.com/media/sets/1000643461-1.jpg,128514
1000648795-1,Marvel Super Heroes 2 - PS4,2017,0,https://cdn.rebrickable.com/media/sets/1000648795-1.jpg,128516
1000692713-1,Marvel Super Heroes 2 - Nintendo Switch,2017,0,https://cdn.rebrickable.com/media/sets/1000692713-1.jpg,128512
1000704831-2,The Incredibles - Nintendo Switch,2019,0,https://cdn.rebrickable.com/media/sets/1000704831-2.jpg,128533
1000704832-13,The Incredibles - PS4,2019,0,https://cdn.rebrickable.com/media/sets/1000704832-13.jpg,128534
1000709804-1,DC Super-Villains - Nintendo Switch,2018,0,https://cdn.rebrickable.com/media/sets/1000709804-1.jpg,128447
1000709806-1,DC Super-Villains - PS4,2018,0,https://cdn.rebrickable.com/media/sets/1000709806-1.jpg,128444
1000709807-1,The Incredibles - Xbox One,2019,0,https://cdn.rebrickable.com/media/sets/1000709807-1.jpg,128532
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,25,https://cdn.rebrickable.com/media/sets/10007-1.jpg,6349
1000724950-1,Harry Potter Collection - Xbox One,2016,0,https://cdn.rebrickable.com/media/sets/1000724950-1.jpg,128531
1000724951-1,Harry Potter Collection - Nintendo Switch,2016,0,https://cdn.rebrickable.com/media/sets/1000724951-1.jpg,128535
1000739974-1,The LEGO Movie 2 Videogame - Nintendo Switch,2019,0,https://cdn.rebrickable.com/media/sets/1000739974-1.jpg,128508
1000739975-1,The LEGO Movie 2 Videogame - PS4,2019,0,https://cdn.rebrickable.com/media/sets/1000739975-1.jpg,128996
1000739976-1,The LEGO Movie 2 Videogame - Xbox One,2019,0,https://cdn.rebrickable.com/media/sets/1000739976-1.jpg,128678
1000746530-1,Jurassic World - Nintendo Switch,2015,0,https://cdn.rebrickable.com/media/sets/1000746530-1.jpg,128673
10008-1,2 x 4 Roof Tile Sand Red,2001,50,https://cdn.rebrickable.com/media/sets/10008-1.jpg,96
10009-1,Assorted Blue Bricks,2001,62,https://cdn.rebrickable.com/media/sets/10009-1.jpg,11510
100-1,4.5V Motor with Wheels (Small Version),1966,15,https://cdn.rebrickable.com/media/sets/100-1.jpg,15097
10010-1,Assorted Yellow Bricks,2003,62,https://cdn.rebrickable.com/media/sets/10010-1.jpg,11526
10011-1,Assorted Blue Plates,2001,42,https://cdn.rebrickable.com/media/sets/10011-1.jpg,2286
10012-1,Assorted Yellow Plates,2001,42,https://cdn.rebrickable.com/media/sets/10012-1.jpg,5323
10013-1,Open Freight Wagon,2001,121,https://cdn.rebrickable.com/media/sets/10013-1.jpg,1212
10014-1,Caboose,2001,170,https://cdn.rebrickable.com/media/sets/10014-1.jpg,3197
10015-1,Passenger Wagon,2001,194,https://cdn.rebrickable.com/media/sets/10015-1.jpg,4222
10016-1,Tanker,2001,128,https://cdn.rebrickable.com/media/sets/10016-1.jpg,13739
10017-1,Hopper Wagon,2001,228,https://cdn.rebrickable.com/media/sets/10017-1.jpg,931
10018-1,Darth Maul,2001,1868,https://cdn.rebrickable.com/media/sets/10018-1.jpg,14521
10019-1,Rebel Blockade Runner,2001,1748,https://cdn.rebrickable.com/media/sets/10019-1.jpg,13852
100-2,4.5V Motor with Wheels (Large Version),1966,27,https://cdn.rebrickable.com/media/sets/100-2.jpg,9538
10020-1,Santa Fe Super Chief,2002,435,https://cdn.rebrickable.com/media/sets/10020-1.jpg,4113
10020-2,Santa Fe Super Chief - Limited Edition,2002,441,https://cdn.rebrickable.com/media/sets/10020-2.jpg,11970
10021-1,U.S.S. Constellation,2003,975,https://cdn.rebrickable.com/media/sets/10021-1.jpg,15624
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,411,https://cdn.rebrickable.com/media/sets/10022-1.jpg,13406
10023-1,Master Builder Set,2002,111,https://cdn.rebrickable.com/media/sets/10023-1.jpg,8609
10024-1,Red Baron,2002,670,https://cdn.rebrickable.com/media/sets/10024-1.jpg,7884
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,326,https://cdn.rebrickable.com/media/sets/10025-1.jpg,7806
10026-1,Naboo Starfighter,2002,188,https://cdn.rebrickable.com/media/sets/10026-1.jpg,6064
10027-1,Train Engine Shed,2003,670,https://cdn.rebrickable.com/media/sets/10027-1.jpg,10953
10029-1,Lunar Lander,2003,469,https://cdn.rebrickable.com/media/sets/10029-1.jpg,7830
100291707-1,Ninjago Lloyd Backpack,2018,0,https://cdn.rebrickable.com/media/sets/100291707-1.jpg,216513
100291708-1,Nexo Knights Backpack,2018,0,https://cdn.rebrickable.com/media/sets/100291708-1.jpg,216512
10030-1,Imperial Star Destroyer,2002,3116,https://cdn.rebrickable.com/media/sets/10030-1.jpg,44145
100301705-1,Friends You're the Star Junior Backpack,2018,0,https://cdn.rebrickable.com/media/sets/100301705-1.jpg,216515
100301837-1,Friends Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100301837-1.jpg,114016
100302101-1,Ninjago Green Lloyd Junior Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100302101-1.jpg,235802
100302203-1,Ninjago Prime Empire Junior Backpack,2022,0,https://cdn.rebrickable.com/media/sets/100302203-1.jpg,239341
100302304-1,Mermaid Junior Backpack,2023,0,https://cdn.rebrickable.com/media/sets/100302304-1.jpg,216494
100302501-1,Ninjago Elemental Master Of Energy Junior Backpack,2025,0,https://cdn.rebrickable.com/media/sets/100302501-1.jpg,272936
100302502-1,Ninjago Dragon Energy Junior Backpack,2025,0,https://cdn.rebrickable.com/media/sets/100302502-1.jpg,272984
100302505-1,City Space Explorer Junior Backpack,2025,0,https://cdn.rebrickable.com/media/sets/100302505-1.jpg,273239
100302506-1,Flowers Junior Backpack,2025,0,https://cdn.rebrickable.com/media/sets/100302506-1.jpg,272963
100311708-1,Nexo Knights Shoulder Bag,2018,0,https://cdn.rebrickable.com/media/sets/100311708-1.jpg,216509
100311837-1,Friends Juice Bar Shoulder Bag,2020,0,https://cdn.rebrickable.com/media/sets/100311837-1.jpg,216524
100321710-1,Friend Pencil Case,2017,0,https://cdn.rebrickable.com/media/sets/100321710-1.jpg,243408
100341707-1,Ninjago Lloyd Gym Bag,2018,0,https://cdn.rebrickable.com/media/sets/100341707-1.jpg,216251
100341726-1,Star Wars The Dark Side Darth Vader Gym Bag,2018,0,https://cdn.rebrickable.com/media/sets/100341726-1.jpg,237420
100341829-1,Star Wars Stormtrooper Gym Bag,2018,0,https://cdn.rebrickable.com/media/sets/100341829-1.jpg,235067
100342004-1,Friends Pink Gym Bag,2020,0,https://cdn.rebrickable.com/media/sets/100342004-1.jpg,243413
100342008-1,Ninjago Dragon Master Gym Bag,2020,0,https://cdn.rebrickable.com/media/sets/100342008-1.jpg,243414
100342101-1,Ninjago Green Lloyd Gym Bag,2021,0,https://cdn.rebrickable.com/media/sets/100342101-1.jpg,235801
100342108-1,Purple Gym Bag,2021,0,https://cdn.rebrickable.com/media/sets/100342108-1.jpg,241987
100342208-1,Navy Gym Bag,2022,0,https://cdn.rebrickable.com/media/sets/100342208-1.jpg,242248
100342501-1,Ninjago Elemental Master Of Energy Gym Bag,2025,0,https://cdn.rebrickable.com/media/sets/100342501-1.jpg,272942
100342502-1,Ninjago Dragon Energy Gym Bag,2025,0,https://cdn.rebrickable.com/media/sets/100342502-1.jpg,272987
100342506-1,Flowers Gym Bag,2025,0,https://cdn.rebrickable.com/media/sets/100342506-1.jpg,272964
100342511-1,Bricks Gym Bag,2025,0,https://cdn.rebrickable.com/media/sets/100342511-1.jpg,272897
100342603-1,Ninjago Ninja Skills Gym Bag,2025,0,https://cdn.rebrickable.com/media/sets/100342603-1.jpg,311817
100351702-1,Ninjago Kai Backpack Trolley,2017,0,https://cdn.rebrickable.com/media/sets/100351702-1.jpg,216492
100351707-1,Ninjago Lloyd Backpack Trolley,2018,0,https://cdn.rebrickable.com/media/sets/100351707-1.jpg,216254
100351708-1,Nexo Knights Backpack Trolley,2018,0,https://cdn.rebrickable.com/media/sets/100351708-1.jpg,216502
100351710-1,Friends Funpark Backpack Trolley,2018,0,https://cdn.rebrickable.com/media/sets/100351710-1.jpg,216501
10036-1,Pizza To Go,2002,151,https://cdn.rebrickable.com/media/sets/10036-1.jpg,14730
10037-1,Breezeway Cafe,2002,195,https://cdn.rebrickable.com/media/sets/10037-1.jpg,7939
10039-1,Black Falcon's Fortress,2002,430,https://cdn.rebrickable.com/media/sets/10039-1.jpg,12257
10040-1,Black Seas Barracuda,2002,916,https://cdn.rebrickable.com/media/sets/10040-1.jpg,4892
10041-1,Main Street,2003,640,https://cdn.rebrickable.com/media/sets/10041-1.jpg,11136
10042-1,American Flag,2003,35,https://cdn.rebrickable.com/media/sets/10042-1.jpg,11552
10043-1,2x2 Electrical Plate,2002,1,https://cdn.rebrickable.com/media/sets/10043-1.jpg,2178
10044-1,Windows and Doors,2002,44,https://cdn.rebrickable.com/media/sets/10044-1.jpg,2392
10045-1,Pillars and Beams,2002,13,https://cdn.rebrickable.com/media/sets/10045-1.jpg,11168
100451835-1,City Police Backpack Trolley,2018,0,https://cdn.rebrickable.com/media/sets/100451835-1.jpg,243388
100451910-1,Ninjago Urban Backpack Trolley,2019,0,https://cdn.rebrickable.com/media/sets/100451910-1.jpg,216220
100451914-1,Friends Girls Rock Backpack Trolley,2019,0,https://cdn.rebrickable.com/media/sets/100451914-1.jpg,243389
100452005-1,Friends Hearts Backpack Trolley,2020,0,https://cdn.rebrickable.com/media/sets/100452005-1.jpg,241974
10046-1,Brown Tiles,2002,100,https://cdn.rebrickable.com/media/sets/10046-1.jpg,5150
10047-1,Light Gray Arches,2002,36,https://cdn.rebrickable.com/media/sets/10047-1.jpg,10803
10048-1,Small Wheels and Axles,2002,61,https://cdn.rebrickable.com/media/sets/10048-1.jpg,663
10049-1,Large Wheels and Axles,2002,31,https://cdn.rebrickable.com/media/sets/10049-1.jpg,3511
10050-1,Gray Fences,2002,34,https://cdn.rebrickable.com/media/sets/10050-1.jpg,8187
100501829-1,Star Wars Stormtrooper Pencil Case,2018,0,https://cdn.rebrickable.com/media/sets/100501829-1.jpg,235848
100501908-1,Ninjago Lloyd Energy Pencil Case,2019,0,https://cdn.rebrickable.com/media/sets/100501908-1.jpg,243415
100502101-1,Ninjago Green Lloyd Pencil Case,2022,0,https://cdn.rebrickable.com/media/sets/100502101-1.jpg,235803
100502108-1,Purple Pencil Case,2021,0,https://cdn.rebrickable.com/media/sets/100502108-1.jpg,241986
100502206-1,Parrot Pencil Case,2022,0,https://cdn.rebrickable.com/media/sets/100502206-1.jpg,239696
100502207-1,Violet Pencil Case,2022,0,https://cdn.rebrickable.com/media/sets/100502207-1.jpg,239697
100502208-1,Navy Pencil Case,2022,0,https://cdn.rebrickable.com/media/sets/100502208-1.jpg,242252
100502507-1,Ninjago Elemental Master Of Energy Pencil Case,2025,0,https://cdn.rebrickable.com/media/sets/100502507-1.jpg,272949
10051-1,Transparent Bricks,2002,50,https://cdn.rebrickable.com/media/sets/10051-1.jpg,3857
10052-1,Intelligent Locomotive (Explore),2003,7,https://cdn.rebrickable.com/media/sets/10052-1.jpg,26310
100522009-1,Ninjago Spinjitzu Jay Pencil Case,2020,0,https://cdn.rebrickable.com/media/sets/100522009-1.jpg,233102
100522101-1,Ninjago Green Lloyd Pencil Case,2022,0,https://cdn.rebrickable.com/media/sets/100522101-1.jpg,235795
100522108-1,Purple Pencil Case,2021,0,https://cdn.rebrickable.com/media/sets/100522108-1.jpg,241985
100522110-1,Navy Pencil Case,2023,0,https://cdn.rebrickable.com/media/sets/100522110-1.jpg,235846
100522501-1,Ninjago Elemental Master Of Energy Pencil Case,2025,0,https://cdn.rebrickable.com/media/sets/100522501-1.jpg,272951
100522511-1,Bricks Pencil Case,2025,0,https://cdn.rebrickable.com/media/sets/100522511-1.jpg,272900
100522603-1,Ninjago Ninja Skills Pencil Case,2025,0,https://cdn.rebrickable.com/media/sets/100522603-1.jpg,311825
10053-1,Black Slopes 33,2003,44,https://cdn.rebrickable.com/media/sets/10053-1.jpg,15654
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,68,https://cdn.rebrickable.com/media/sets/10054-1.jpg,13634
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,50,https://cdn.rebrickable.com/media/sets/10055-1.jpg,5409
10056-1,White Plates 2 x n,2002,56,https://cdn.rebrickable.com/media/sets/10056-1.jpg,2901
10057-1,Black Plates 2 x n,2002,56,https://cdn.rebrickable.com/media/sets/10057-1.jpg,3722
10058-1,Red Plates 2 x n,2002,56,https://cdn.rebrickable.com/media/sets/10058-1.jpg,7682
10059-1,Dark Green Plates 2 x n,2002,56,https://cdn.rebrickable.com/media/sets/10059-1.jpg,592
10060-1,Light Gray Plates 2 x n,2002,56,https://cdn.rebrickable.com/media/sets/10060-1.jpg,16054
100603-1,Duplo Bib,2022,0,https://cdn.rebrickable.com/media/sets/100603-1.jpg,214165
10061-1,Black Plates 1 x n,2002,84,https://cdn.rebrickable.com/media/sets/10061-1.jpg,4103
10062-1,Red Plates 1 x n,2002,84,https://cdn.rebrickable.com/media/sets/10062-1.jpg,8728
10063-1,Green Plates 1 x n,2002,84,https://cdn.rebrickable.com/media/sets/10063-1.jpg,12540
10064-1,Light Gray Plates 1 x n,2002,84,https://cdn.rebrickable.com/media/sets/10064-1.jpg,14868
10065-1,White Plates 1 x n,2002,84,https://cdn.rebrickable.com/media/sets/10065-1.jpg,14953
10066-1,Castle Accessories,2002,41,https://cdn.rebrickable.com/media/sets/10066-1.jpg,6575
10067-1,Mini-Fig Headgear,2002,53,https://cdn.rebrickable.com/media/sets/10067-1.jpg,6113
100672507-1,Ninjago Elemental Master Of Energy School Bag Trolley,2025,0,https://cdn.rebrickable.com/media/sets/100672507-1.jpg,272940
10068-1,Santa Claus,2002,39,https://cdn.rebrickable.com/media/sets/10068-1.jpg,2821
100682507-1,Ninjago Elemental Master Of Energy School Bag,2025,0,https://cdn.rebrickable.com/media/sets/100682507-1.jpg,272939
100682603-1,Ninjago Ninja Skills School Bag,2025,0,https://cdn.rebrickable.com/media/sets/100682603-1.jpg,311816
10069-1,Christmas Tree,2002,33,https://cdn.rebrickable.com/media/sets/10069-1.jpg,1320
10070-1,Reindeer,2002,26,https://cdn.rebrickable.com/media/sets/10070-1.jpg,2684
10071-1,Mr. Bunny,2003,25,https://cdn.rebrickable.com/media/sets/10071-1.jpg,49
10072-1,TECHNIC Beams,2003,56,https://cdn.rebrickable.com/media/sets/10072-1.jpg,1762
100722101-1,Ninjago Green Lloyd Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100722101-1.jpg,240313
100722106-1,Stars Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100722106-1.jpg,241979
100722108-1,Purple Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100722108-1.jpg,241976
100722110-1,Navy Backpack,2021,0,https://cdn.rebrickable.com/media/sets/100722110-1.jpg,241978
10073-1,Bushes,2003,130,https://cdn.rebrickable.com/media/sets/10073-1.jpg,15349
10074-1,Cross Axles,2003,68,https://cdn.rebrickable.com/media/sets/10074-1.jpg,8941
10075-1,Spider-Man Action Pack,2002,25,https://cdn.rebrickable.com/media/sets/10075-1.jpg,4313
10076-1,TECHNIC Gear Wheels,2002,39,https://cdn.rebrickable.com/media/sets/10076-1.jpg,10304
10077-1,TECHNIC Motor,2003,55,https://cdn.rebrickable.com/media/sets/10077-1.jpg,12031
10078-1,Train Connection Wire,2003,1,https://cdn.rebrickable.com/media/sets/10078-1.jpg,8083
10079-1,Snowman,2003,42,https://cdn.rebrickable.com/media/sets/10079-1.jpg,7888
10080-1,Angel,2003,33,https://cdn.rebrickable.com/media/sets/10080-1.jpg,15122
10081-1,Birthday Pack Heart,2004,70,https://cdn.rebrickable.com/media/sets/10081-1.jpg,11038
